;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
43;{'n_estimators': 124, 'max_depth': 7, 'min_data_in_leaf': 61, 'learning_rate': 0.5526530612244898};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7702638888888889;0.6333333333333333;0.5750182026211774;0.5416666666666666;0.5378364811791183;"[[18  0  2  0]
 [ 2  6 10  2]
 [ 2  3 49  6]
 [ 1  1 15  3]]"
44;{'n_estimators': 141, 'max_depth': 7, 'min_data_in_leaf': 47, 'learning_rate': 0.45183673469387753};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7784583333333333;0.6416666666666667;0.5922105320839498;0.5458333333333333;0.5478666417092865;"[[18  0  2  0]
 [ 2  6 11  1]
 [ 1  4 50  5]
 [ 0  1 16  3]]"
45;{'n_estimators': 90, 'max_depth': 5, 'min_data_in_leaf': 36, 'learning_rate': 0.39755102040816326};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8137638888888888;0.675;0.6693722943722944;0.5541666666666666;0.5581883394383395;"[[17  0  3  0]
 [ 2  6 11  1]
 [ 1  2 55  2]
 [ 2  0 15  3]]"
46;{'n_estimators': 124, 'max_depth': 6, 'min_data_in_leaf': 52, 'learning_rate': 0.36653061224489797};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8053472222222224;0.675;0.6479166666666667;0.5791666666666667;0.5798560135516657;"[[18  0  2  0]
 [ 2  8  9  1]
 [ 2  2 52  4]
 [ 2  0 15  3]]"
47;{'n_estimators': 110, 'max_depth': 7, 'min_data_in_leaf': 60, 'learning_rate': 0.39755102040816326};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8246666666666668;0.6916666666666667;0.7064811881885054;0.5875;0.5991902886026247;"[[18  0  2  0]
 [ 2  7 10  1]
 [ 2  2 54  2]
 [ 0  0 16  4]]"
48;{'n_estimators': 106, 'max_depth': 6, 'min_data_in_leaf': 29, 'learning_rate': 0.6922448979591836};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.811125;0.675;0.687955948372615;0.5791666666666666;0.5914168675540649;"[[18  0  2  0]
 [ 1  6 13  0]
 [ 3  2 52  3]
 [ 0  1 14  5]]"
49;{'n_estimators': 124, 'max_depth': 6, 'min_data_in_leaf': 54, 'learning_rate': 0.4363265306122449};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7871388888888888;0.6833333333333333;0.6807216183574879;0.5833333333333334;0.5907062664680949;"[[18  0  2  0]
 [ 2  7 10  1]
 [ 2  2 53  3]
 [ 1  0 15  4]]"
50;{'n_estimators': 97, 'max_depth': 5, 'min_data_in_leaf': 58, 'learning_rate': 0.4751020408163265};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7832916666666666;0.6666666666666666;0.6419379144062688;0.5666666666666667;0.5777007662162952;"[[17  0  3  0]
 [ 2  7  9  2]
 [ 1  3 52  4]
 [ 1  0 15  4]]"
51;{'n_estimators': 93, 'max_depth': 5, 'min_data_in_leaf': 27, 'learning_rate': 0.6922448979591836};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8144305555555555;0.6416666666666667;0.6129757123733027;0.5291666666666667;0.532174846304367;"[[17  1  2  0]
 [ 2  4 13  1]
 [ 2  4 52  2]
 [ 0  0 16  4]]"
52;{'n_estimators': 72, 'max_depth': 6, 'min_data_in_leaf': 23, 'learning_rate': 0.6689795918367347};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.8221111111111111;0.65;0.5832231040564374;0.5333333333333333;0.5194728439409291;"[[18  0  2  0]
 [ 2  4 12  2]
 [ 2  3 53  2]
 [ 2  1 14  3]]"
